17/04/2021; 23:46; 127.0.0.1; asdas; 192.168.56.1; server; login
17/04/2021; 23:46; 127.0.0.1; bruno; 192.168.56.1; server; login
17/04/2021; 23:46; 127.0.0.1; bruno; 127.0.0.1; asdas; msg:oi
17/04/2021; 23:46; 127.0.0.1; bruno; 127.0.0.1; asdas; msg:hey
17/04/2021; 23:46; 127.0.0.1; bruno; 127.0.0.1; asdas; arq:f6994503c6a4011c2c5149e54f3374a6.gif
17/04/2021; 23:47; 127.0.0.1; bruno; 127.0.0.1; asdas; msg:kkk
17/04/2021; 23:47; 127.0.0.1; asdas; 127.0.0.1; bruno; msg:eita
17/04/2021; 23:47; 127.0.0.1; asdas; 127.0.0.1; bruno; msg:vlw
17/04/2021; 23:47; 127.0.0.1; asdas; 127.0.0.1; bruno; msg:xau
17/04/2021; 23:47; 127.0.0.1; asdas; 192.168.56.1; server; logoff
17/04/2021; 23:47; 127.0.0.1; asdas; 192.168.56.1; server; login
17/04/2021; 23:47; 127.0.0.1; asdas; 127.0.0.1; bruno; msg:epa
17/04/2021; 23:47; 127.0.0.1; bruno; 127.0.0.1; asdas; msg:xau
17/04/2021; 23:47; 127.0.0.1; bruno; 192.168.56.1; server; logoff
